cod_ciclo_bruto,cod_ciclo,n_linhas
2024/01,202401,41
202401,202401,7012
2024/02,202402,42
202402,202402,8189
2024/03,202403,54
202403,202403,9832
2024/04,202404,31
202404,202404,11728
2024/05,202405,66
202405,202405,12179
2024/06,202406,92
202406,202406,16235
2024/07,202407,79
202407,202407,8423
2024/08,202408,76
202408,202408,15229
2024/09,202409,50
202409,202409,8147
2024/10,202410,51
202410,202410,11059
2024/11,202411,48
202411,202411,13154
2024/12,202412,37
202412,202412,8162
2024/13,202413,63
202413,202413,11094
2024/14,202414,50
202414,202414,9976
2024/15,202415,75
202415,202415,16540
2024/16,202416,57
202416,202416,12831
2024/17,202417,101
202417,202417,21309
2025/01,202501,25
202501,202501,7375
2025/02,202502,11
202502,202502,8175
2025/03,202503,46
202503,202503,8735
2025/04,202504,75
202504,202504,12395
2025/05,202505,66
202505,202505,14551
2025/06,202506,91
202506,202506,16325
2025/07,202507,27
202507,202507,6990
2025/08,202508,45
202508,202508,14549
2025/09,202509,39
202509,202509,9139
2025/10,202510,65
202510,202510,10138
2025/11,202511,96
202511,202511,15008
2025/12,202512,63
202512,202512,8565
2025/13,202513,33
202513,202513,11321
2025/14,202514,67
202514,202514,13484
2025/15,202515,133
202515,202515,20158
2025/16,202516,68
202516,202516,14330
2025/17,202517,116
202517,202517,22590
2026/01,202601,42
202601,202601,8067
2026/02,202602,44
202602,202602,8317
2026/03,202603,57
202603,202603,10624
2026/04,202604,66
202604,202604,9652
2026/05,202605,72
202605,202605,12341
2026/06,202606,82
202606,202606,18888
2026/07,202607,59
202607,202607,8864
2026/08,202608,88
202608,202608,16239
2026/09,202609,62
202609,202609,9406
