cod_ciclo,n_linhas
202401,7053
202402,8231
202403,9886
202404,11759
202405,12245
202406,16327
202407,8502
202408,15305
202409,8197
202410,11110
202411,13202
202412,8199
202413,11157
202414,10026
202415,16615
202416,12888
202417,21410
202501,7400
202502,8186
202503,8781
202504,12470
202505,14617
202506,16416
202507,7017
202508,14594
202509,9178
202510,10203
202511,15104
202512,8628
202513,11354
202514,13551
202515,20291
202516,14398
202517,22706
202601,8109
202602,8361
202603,10681
202604,9718
202605,12413
202606,18970
202607,8923
202608,16327
202609,9468
