cod_ciclo_texto_no_xlsx,n_linhas,tem_barra,seq
2024/01,41,True,01
2024/02,42,True,02
2024/03,54,True,03
2024/04,31,True,04
2024/05,66,True,05
2024/06,92,True,06
2024/07,79,True,07
2024/08,76,True,08
2024/09,50,True,09
2024/10,51,True,10
2024/11,48,True,11
2024/12,37,True,12
2024/13,63,True,13
2024/14,50,True,14
2024/15,75,True,15
2024/16,57,True,16
2024/17,101,True,17
202401,7012,False,01
202402,8189,False,02
202403,9832,False,03
202404,11728,False,04
202405,12179,False,05
202406,16235,False,06
202407,8423,False,07
202408,15229,False,08
202409,8147,False,09
202410,11059,False,10
202411,13154,False,11
202412,8162,False,12
202413,11094,False,13
202414,9976,False,14
202415,16540,False,15
202416,12831,False,16
202417,21309,False,17
2025/01,25,True,01
2025/02,11,True,02
2025/03,46,True,03
2025/04,75,True,04
2025/05,66,True,05
2025/06,91,True,06
2025/07,27,True,07
2025/08,45,True,08
2025/09,39,True,09
2025/10,65,True,10
2025/11,96,True,11
2025/12,63,True,12
2025/13,33,True,13
2025/14,67,True,14
2025/15,133,True,15
2025/16,68,True,16
2025/17,116,True,17
202501,7375,False,01
202502,8175,False,02
202503,8735,False,03
202504,12395,False,04
202505,14551,False,05
202506,16325,False,06
202507,6990,False,07
202508,14549,False,08
202509,9139,False,09
202510,10138,False,10
202511,15008,False,11
202512,8565,False,12
202513,11321,False,13
202514,13484,False,14
202515,20158,False,15
202516,14330,False,16
202517,22590,False,17
2026/01,42,True,01
2026/02,44,True,02
2026/03,57,True,03
2026/04,66,True,04
2026/05,72,True,05
2026/06,82,True,06
2026/07,59,True,07
2026/08,88,True,08
2026/09,62,True,09
202601,8067,False,01
202602,8317,False,02
202603,10624,False,03
202604,9652,False,04
202605,12341,False,05
202606,18888,False,06
202607,8864,False,07
202608,16239,False,08
202609,9406,False,09
