cod_sku,nome_produto,marca,categoria,subcategoria,faixa_preco,preco_regular,margem_bruta_pct,cod_ciclo_phase_in,cod_ciclo_phase_out
SKU_001,O Boticário Hidratante Corporal 1,O Boticário,Corpo e Banho,Hidratante Corporal,P6,240.98,0.54,202512.0,202606.0
SKU_002,O Boticário Colônia Infantil 2,O Boticário,Perfumaria,Colônia Infantil,P5,154.72,0.66,202411.0,
SKU_003,Eudora Colônia Infantil 3,Eudora,Perfumaria,Colônia Infantil,P3,70.45,0.54,202601.0,
SKU_004,O Boticário Máscara 4,O Boticário,Cabelos,Máscara,P6,261.08,0.51,202401.0,202504.0
SKU_005,O Boticário Hidratante Corporal 5,O Boticário,Corpo e Banho,Hidratante Corporal,P1,29.92,0.69,202206.0,
SKU_006,Eudora Condicionador 6,Eudora,Cabelos,Condicionador,P3,68.12,0.55,202508.0,
SKU_007,Eudora Perfume Masculino 7,Eudora,Perfumaria,Perfume Masculino,P3,94.64,0.65,202412.0,202511.0
SKU_008,Eudora Perfume Masculino 8,Eudora,Perfumaria,Perfume Masculino,P3,63.25,0.73,202501.0,
SKU_009,O Boticário Sabonete Líquido 9,O Boticário,Corpo e Banho,Sabonete Líquido,P3,65.75,0.68,202411.0,
SKU_010,Eudora Perfume Feminino 10,Eudora,Perfumaria,Perfume Feminino,P1,"31,34",0.71,202210.0,
SKU_011,Eudora Sabonete Líquido 11,Eudora,Corpo e Banho,Sabonete Líquido,P5,200.39,0.48,202511.0,202606.0
SKU_012,O Boticário Perfume Masculino 12,O Boticário,Perfumaria,Perfume Masculino,P6,306.47,0.55,202409.0,
SKU_013,O Boticário Óleo Corporal 13,O Boticário,Corpo e Banho,Óleo Corporal,P2,44.97,0.52,202410.0,
SKU_014,O Boticário Máscara 14,O Boticário,Cabelos,Máscara,P1,23.61,0.63,202206.0,202507.0
SKU_015,Eudora Perfume Feminino 15,Eudora,Perfumaria,Perfume Feminino,P5,152.39,0.62,202503.0,
SKU_016,eudora Colônia Infantil 16,eudora,Perfumaria,Colônia Infantil,P4,139.79,0.66,202405.0,
SKU_017,O Boticário Óleo Corporal 17,O Boticário,Corpo e Banho,Óleo Corporal,P5,156.19,0.5,202505.0,202512.0
SKU_018,Eudora Perfume Masculino 18,Eudora,Perfumaria,Perfume Masculino,P2,48.94,0.68,202501.0,
SKU_019,Eudora Perfume Feminino 19,Eudora,Perfumaria,Perfume Feminino,P3,75.4,0.61,202511.0,202605.0
SKU_020,O Boticário Perfume Feminino 20,O Boticário,Perfumaria,Perfume Feminino,P2,48.87,0.52,202212.0,
SKU_021,O Boticário Hidratante Corporal 21,O Boticário,Corpo e Banho,Hidratante Corporal,P6,319.92,0.71,202206.0,
SKU_022,O Boticário Perfume Masculino 22,O Boticário,Perfumaria,Perfume Masculino,P2,45.1,0.75,202305.0,
SKU_023,Eudora Óleo Corporal 23,Eudora,Corpo e Banho,Óleo Corporal,P2,40.56,0.54,2022/04,
SKU_024,O Boticário Condicionador 24,O Boticário,Cabelos,Condicionador,P5,146.53,0.53,202503.0,202512.0
SKU_025,O Boticário Óleo Corporal 25,O Boticário,Corpo e Banho,Óleo Corporal,P5,146.66,0.66,202501.0,
SKU_026,Eudora Perfume Masculino 26,Eudora,Perfumaria,Perfume Masculino,P2,52.12,0.56,202309.0,
SKU_027,O Boticário Hidratante Corporal 27,O Boticário,Corpo e Banho,Hidratante Corporal,P5,155.71,0.55,202311.0,
SKU_028,Eudora Óleo Corporal 28,Eudora,Corpo e Banho,Óleo Corporal,P5,208.89,0.7,202410.0,202605.0
SKU_029,O Boticário Perfume Masculino 29,O Boticário,Perfumaria,Perfume Masculino,P1,31.14,0.52,202307.0,
SKU_030,Eudora Sérum 30,Eudora,Cabelos,Sérum,P1,21.38,0.59,202306.0,202410.0
SKU_031,Eudora Sabonete Líquido 31,Eudora,Corpo e Banho,Sabonete Líquido,P5,141.67,0.5,202509.0,
SKU_032,O Boticário Perfume Masculino 32,O Boticário,Perfumaria,Perfume Masculino,P1,24.62,0.72,202203.0,
SKU_033,O Boticário Sabonete Líquido 33,O Boticário,Corpo e Banho,Sabonete Líquido,P2,56.75,0.74,202212.0,
SKU_034,O Boticário Sérum 34,O Boticário,Cabelos,Sérum,P3,66.41,0.67,202401.0,
SKU_035,Eudora Máscara 35,Eudora,Cabelos,Máscara,P2,41.35,0.66,202402.0,
SKU_036,Eudora Óleo Corporal 36,Eudora,Corpo e Banho,Óleo Corporal,P6,317.95,0.62,202202.0,202312.0
SKU_037,O Boticário Shampoo 37,O Boticário,Cabelos,Shampoo,P5,170.98,0.68,202309.0,
SKU_038,O Boticário Perfume Masculino 38,O Boticário,Perfumaria,Perfume Masculino,P6,258.53,0.62,202411.0,
SKU_039,Eudora Shampoo 39,Eudora,Cabelos,Shampoo,P5,162.66,0.71,202511.0,
SKU_040,O Boticário Sabonete Líquido 40,O Boticário,Corpo e Banho,Sabonete Líquido,P2,46.09,0.73,202508.0,
SKU_041,Eudora Shampoo 41,Eudora,Cabelos,Shampoo,P3,68.15,0.69,202503.0,
SKU_042,O Boticário Condicionador 42,O Boticário,Cabelos,Condicionador,P3,78.53,0.65,202310.0,202604.0
SKU_043,O Boticário Perfume Feminino 43,O Boticário,Perfumaria,Perfume Feminino,P2,59.61,0.65,202205.0,
SKU_044,Eudora Sérum 44,Eudora,Cabelos,Sérum,P2,39.54,0.67,202601.0,
SKU_045,Eudora Óleo Corporal 45,Eudora,Corpo e Banho,Óleo Corporal,P1,28.36,0.73,202208.0,
SKU_046,Eudora Sabonete Líquido 46,Eudora,Corpo e Banho,Sabonete Líquido,P5,197.24,0.72,202404.0,
SKU_047,Eudora Sérum 47,Eudora,Cabelos,Sérum,P2,56.16,0.55,202410.0,
SKU_048,Eudora Perfume Masculino 48,Eudora,Perfumaria,Perfume Masculino,P3,91.36,0.5,202210.0,202401.0
SKU_049,Eudora Sabonete Líquido 49,Eudora,Corpo e Banho,Sabonete Líquido,P1,23.1,0.59,202502.0,
