id_projeto,cod_sku_lancamento,investimento_mkt_rs,expectativa_gmv_ano1
PROJ_2024_01,SKU_120,250000.0,740659.83
PROJ_2024_02,SKU_094,750000.0,2000453.14
PROJ_2024_03,SKU_124,750000.0,1970654.11
PROJ_2024_04,SKU_114,750000.0,2255437.56
PROJ_2024_05,SKU_055,250000.0,500652.79
PROJ_2024_06,SKU_006,500000.0,2186265.68
PROJ_2024_07,SKU_040,250000.0,535205.27
PROJ_2024_08,SKU_070,750000.0,2125280.16
PROJ_2024_09,SKU_085,750000.0,2103327.09
PROJ_2024_10,SKU_008,500000.0,1614770.84
PROJ_2024_11,SKU_081,500000.0,2196702.07
PROJ_2024_12,SKU_059,1200000.0,3837494.69
PROJ_2025_01,SKU_019,1200000.0,2855208.18
PROJ_2025_02,SKU_089,250000.0,541616.68
PROJ_2025_03,SKU_102,500000.0,2113216.69
PROJ_2025_04,SKU_095,750000.0,2786819.49
PROJ_2025_05,SKU_108,500000.0,1860942.29
PROJ_2025_06,SKU_092,500000.0,1063839.31
PROJ_2025_07,SKU_082,500000.0,1967003.63
PROJ_2025_08,SKU_039,2000000.0,6690298.0
PROJ_2025_09,SKU_118,2000000.0,8374930.81
PROJ_2025_10,SKU_083,1200000.0,5398687.94
PROJ_2025_11,SKU_053,1200000.0,4827619.65
PROJ_2025_12,SKU_119,750000.0,2650735.64
PROJ_2025_13,SKU_112,750000.0,1609877.59
