cod_sku_principal,cod_sku_similar,score_similaridade_par
SKU_001,SKU_011,0.76
SKU_001,SKU_002,0.61
SKU_008,SKU_084,0.62
SKU_008,SKU_032,0.64
SKU_009,SKU_021,0.66
SKU_009,SKU_039,0.75
SKU_009,SKU_095,
SKU_010,SKU_002,0.87
SKU_010,SKU_131,0.65
SKU_011,SKU_053,0.94
SKU_011,SKU_091,
SKU_012,SKU_096,0.64
SKU_012,SKU_085,0.73
SKU_012,SKU_028,0.82
SKU_013,SKU_126,0.64
SKU_013,SKU_026,
SKU_013,SKU_117,0.74
SKU_014,SKU_028,0.92
SKU_014,SKU_041,
SKU_015,SKU_085,0.89
SKU_015,SKU_104,0.73
SKU_015,SKU_044,0.74
SKU_016,SKU_069,0.96
SKU_016,SKU_067,0.79
SKU_017,SKU_103,0.61
SKU_017,SKU_105,0.89
SKU_017,SKU_150,
SKU_018,SKU_083,0.79
SKU_018,SKU_142,0.75
SKU_019,SKU_051,0.73
SKU_019,SKU_002,0.92
SKU_019,SKU_054,0.7
SKU_020,SKU_027,0.65
SKU_020,SKU_121,0.91
SKU_020,SKU_042,0.9
SKU_021,SKU_081,0.85
SKU_021,SKU_078,0.78
SKU_021,SKU_111,0.78
SKU_021,SKU_141,0.62
SKU_022,SKU_031,
SKU_022,SKU_101,0.88
SKU_022,SKU_133,0.96
SKU_023,SKU_111,0.6
SKU_023,SKU_014,0.78
SKU_024,SKU_077,0.76
SKU_024,SKU_049,0.79
SKU_025,SKU_008,0.93
SKU_025,SKU_094,0.82
SKU_026,SKU_095,0.96
SKU_026,SKU_008,0.87
SKU_026,SKU_065,0.85
SKU_026,SKU_002,0.97
SKU_027,SKU_056,0.64
SKU_027,SKU_131,0.8
SKU_027,SKU_077,0.66
SKU_028,SKU_018,0.79
SKU_028,SKU_093,
SKU_029,SKU_107,0.69
SKU_029,SKU_135,0.7
SKU_030,SKU_092,0.79
SKU_030,SKU_044,0.85
SKU_030,SKU_135,0.72
SKU_030,SKU_037,0.73
SKU_031,SKU_055,0.83
SKU_031,SKU_135,
SKU_031,SKU_110,0.67
SKU_032,SKU_115,
SKU_032,SKU_093,0.66
SKU_032,SKU_049,0.91
SKU_032,SKU_138,0.74
SKU_033,SKU_042,0.86
SKU_033,SKU_035,0.76
SKU_033,SKU_086,
SKU_034,SKU_094,0.7
SKU_034,SKU_121,0.82
SKU_034,SKU_103,
SKU_043,SKU_105,0.83
SKU_043,SKU_032,0.85
SKU_044,SKU_112,
SKU_044,SKU_110,0.92
SKU_044,SKU_114,
SKU_044,SKU_005,0.69
SKU_045,SKU_129,0.6
SKU_045,SKU_110,0.87
SKU_045,SKU_115,
SKU_045,SKU_041,0.93
SKU_046,SKU_146,0.63
SKU_046,SKU_070,0.93
SKU_046,SKU_098,0.77
SKU_046,SKU_066,0.97
SKU_047,SKU_115,0.62
SKU_047,SKU_142,0.79
SKU_048,SKU_091,0.71
SKU_048,SKU_033,0.79
SKU_049,SKU_096,0.76
SKU_049,SKU_066,0.94
SKU_050,SKU_085,0.98
SKU_050,SKU_111,0.66
SKU_051,SKU_027,0.62
SKU_051,SKU_032,0.61
SKU_051,SKU_148,0.85
SKU_052,SKU_017,0.71
SKU_052,SKU_064,0.9
SKU_053,SKU_098,
SKU_053,SKU_047,0.92
SKU_054,SKU_024,0.74
SKU_054,SKU_020,0.87
SKU_054,SKU_027,0.65
SKU_054,SKU_104,0.71
SKU_055,SKU_077,0.93
SKU_055,SKU_109,
SKU_056,SKU_066,
SKU_056,SKU_011,0.8
SKU_057,SKU_007,0.82
SKU_057,SKU_052,
SKU_058,SKU_074,
SKU_058,SKU_013,0.88
SKU_058,SKU_149,0.68
SKU_063,SKU_122,0.74
SKU_063,SKU_128,0.65
SKU_064,SKU_044,0.62
SKU_064,SKU_028,0.88
SKU_065,SKU_094,
SKU_065,SKU_002,
SKU_065,SKU_134,0.62
SKU_066,SKU_093,
SKU_066,SKU_137,0.65
SKU_066,SKU_007,0.94
SKU_066,SKU_035,0.69
SKU_067,SKU_023,0.77
SKU_067,SKU_132,0.91
SKU_068,SKU_141,0.67
SKU_068,SKU_133,0.67
SKU_071,SKU_091,0.86
SKU_072,SKU_010,
SKU_072,SKU_081,0.64
SKU_072,SKU_045,0.72
SKU_072,SKU_114,0.66
SKU_073,SKU_130,
SKU_073,SKU_113,
SKU_073,SKU_013,0.81
SKU_074,SKU_054,0.82
SKU_074,SKU_094,
SKU_075,SKU_062,0.91
SKU_075,SKU_085,0.81
SKU_075,SKU_045,0.82
SKU_076,SKU_017,0.84
SKU_076,SKU_023,
SKU_076,SKU_016,0.86
SKU_077,SKU_144,0.91
SKU_077,SKU_036,0.98
SKU_077,SKU_143,0.9
SKU_077,SKU_059,
SKU_078,SKU_011,
SKU_078,SKU_023,0.97
SKU_079,SKU_106,0.91
SKU_079,SKU_035,0.65
SKU_080,SKU_148,0.98
SKU_080,SKU_088,0.68
SKU_080,SKU_143,0.73
SKU_086,SKU_063,0.72
SKU_086,SKU_143,0.93
SKU_086,SKU_119,0.9
SKU_087,SKU_114,
SKU_087,SKU_118,
SKU_087,SKU_071,0.68
SKU_088,SKU_023,0.62
SKU_088,SKU_096,0.6
SKU_088,SKU_047,0.98
SKU_091,SKU_074,0.63
SKU_091,SKU_004,0.91
SKU_092,SKU_115,
SKU_092,SKU_053,0.77
SKU_093,SKU_081,0.93
SKU_093,SKU_043,
SKU_093,SKU_075,0.8
SKU_093,SKU_108,0.77
SKU_094,SKU_078,0.92
SKU_094,SKU_011,0.9
SKU_095,SKU_031,0.88
SKU_095,SKU_007,
SKU_095,SKU_117,0.88
SKU_096,SKU_099,0.6
SKU_096,SKU_104,0.84
SKU_097,SKU_100,0.69
SKU_097,SKU_150,0.89
SKU_098,SKU_018,0.66
SKU_098,SKU_103,0.67
SKU_098,SKU_044,0.69
SKU_099,SKU_119,0.85
SKU_099,SKU_058,
SKU_100,SKU_099,0.81
SKU_100,SKU_015,0.62
SKU_100,SKU_107,0.82
SKU_100,SKU_092,0.72
SKU_101,SKU_053,0.66
SKU_104,SKU_137,0.86
SKU_104,SKU_047,0.8
SKU_105,SKU_079,0.91
SKU_105,SKU_027,
SKU_106,SKU_086,0.62
SKU_106,SKU_087,0.91
SKU_107,SKU_124,
SKU_107,SKU_015,0.7
SKU_107,SKU_069,
SKU_108,SKU_062,0.78
SKU_108,SKU_125,0.62
SKU_108,SKU_106,0.97
SKU_115,SKU_070,0.65
SKU_115,SKU_009,0.74
SKU_115,SKU_019,0.74
SKU_115,SKU_122,0.76
SKU_116,SKU_016,0.83
SKU_116,SKU_066,0.84
SKU_116,SKU_005,
SKU_116,SKU_089,
SKU_117,SKU_101,0.7
SKU_117,SKU_095,0.77
SKU_118,SKU_029,0.69
SKU_118,SKU_088,0.95
SKU_119,SKU_008,0.79
SKU_119,SKU_107,0.94
SKU_120,SKU_056,
SKU_120,SKU_036,0.97
SKU_121,SKU_075,
SKU_121,SKU_045,0.97
SKU_122,SKU_066,0.89
SKU_122,SKU_057,0.82
SKU_123,SKU_010,0.85
SKU_123,SKU_136,0.87
SKU_123,SKU_030,0.69
SKU_124,SKU_084,0.94
SKU_124,SKU_066,0.67
SKU_124,SKU_115,0.9
SKU_124,SKU_011,0.68
SKU_125,SKU_034,0.75
SKU_125,SKU_130,
SKU_125,SKU_102,0.66
SKU_125,SKU_036,
SKU_126,SKU_087,0.76
SKU_126,SKU_037,
SKU_126,SKU_011,0.85
SKU_126,SKU_059,0.97
SKU_127,SKU_051,0.94
SKU_127,SKU_006,0.63
SKU_127,SKU_023,0.77
SKU_127,SKU_143,0.79
SKU_128,SKU_050,0.82
SKU_128,SKU_121,0.63
SKU_128,SKU_043,0.62
SKU_129,SKU_009,0.78
SKU_129,SKU_097,0.8
SKU_130,SKU_074,0.64
SKU_130,SKU_013,0.65
SKU_130,SKU_020,0.64
SKU_130,SKU_140,0.98
SKU_131,SKU_009,
SKU_131,SKU_055,0.74
SKU_131,SKU_023,0.71
SKU_131,SKU_117,0.86
SKU_132,SKU_123,0.76
SKU_132,SKU_109,0.9
SKU_133,SKU_015,0.87
SKU_133,SKU_083,0.72
SKU_134,SKU_098,0.93
SKU_134,SKU_073,
SKU_134,SKU_035,0.71
SKU_135,SKU_146,0.83
SKU_135,SKU_065,0.69
SKU_136,SKU_104,0.95
SKU_136,SKU_138,0.86
SKU_136,SKU_126,0.72
SKU_141,SKU_082,
SKU_141,SKU_116,0.72
SKU_142,SKU_116,
SKU_142,SKU_120,0.8
SKU_143,SKU_098,0.87
SKU_145,SKU_104,0.84
SKU_146,SKU_114,0.86
SKU_149,SKU_148,0.71
SKU_149,SKU_105,0.8
SKU_150,SKU_142,0.64
SKU_150,SKU_048,
SKU_150,SKU_082,0.69
SKU_150,SKU_141,0.85
