id_venda,cod_sku,cod_ciclo,uf,canal_venda,qt_venda,vlr_venda_tabela,vlr_venda_desconto,vlr_venda_praticado,margem_bruta
VND_00000001,SKU_141,202401,SP,LOJA,4,604.68,165.16,439.52,263.71
VND_00000001,SKU_093,202401,SP,LOJA,3,302.07,,302.07,175.2
VND_00000001,SKU_101,202401,SP,LOJA,1,22.1,3.46,18.64,13.79
VND_00000002,SKU_064,202401,SP,VD,7,978.95,,978.95,616.74
VND_00000002,SKU_068,202401,SP,VD,10,323.3,,323.3,190.75
VND_00000002,SKU_080,202401,SP,VD,5,102.15,12.23,89.92,58.45
VND_00000003,SKU_027,202401,SP,LOJA,3,467.13,95.18,371.95,204.57
VND_00000003,SKU_029,202401,SP,LOJA,1,31.14,,31.14,16.19
VND_00000003,SKU_064,202401,SP,LOJA,3,419.55,,419.55,264.32
VND_00000003,SKU_096,202401,SP,LOJA,1,87.81,22.16,65.65,32.17
VND_00000003,SKU_085,202401,SP,LOJA,4,1050.2,,1050.2,766.65
VND_00000003,SKU_005,202401,SP,LOJA,2,59.84,,59.84,41.29
VND_00000003,SKU_074,202401,SP,LOJA,3,732.45,,732.45,432.15
VND_00000003,SKU_032,202401,SP,LOJA,1,24.62,,24.62,17.73
VND_00000003,SKU_149,202401,SP,LOJA,2,159.12,26.48,132.64,92.85
VND_00000004,SKU_130,202401,SP,LOJA,2,272.0,,272.0,171.36
VND_00000005,SKU_149,202401,PR,LOJA,3,238.68,,238.68,167.08
VND_00000005,SKU_076,202401,PR,LOJA,1,118.83,,118.83,71.3
VND_00000005,SKU_004,202401,PR,LOJA,2,522.16,,522.16,266.3
VND_00000005,SKU_107,202401,PR,LOJA,1,38.64,3.31,35.33,25.08
VND_00000005,SKU_021,202401,PR,LOJA,2,639.84,45.45,594.39,422.02
VND_00000005,SKU_150,202401,PR,LOJA,1,295.6,,295.6,177.36
VND_00000005,SKU_135,202401,PR,LOJA,1,165.97,49.24,116.73,67.7
VND_00000005,SKU_034,202401,PR,LOJA,1,66.41,,66.41,44.49
VND_00000005,SKU_045,202401,PR,LOJA,8,226.88,,226.88,165.62
VND_00000006,SKU_146,202401,PR,VD,6,453.54,,453.54,294.8
VND_00000006,SKU_140,202401,PR,VD,1,263.38,,263.38,152.76
VND_00000007,SKU_048,202401,SP,VD,1,91.36,,91.36,45.68
VND_00000008,SKU_066,202401,SP,VD,4,172.44,,172.44,100.02
VND_00000008,SKU_135,202401,SP,VD,5,829.85,123.89,705.96,409.46
