id_venda,cod_sku,cod_ciclo,uf,canal_venda,qt_venda,vlr_venda_tabela,vlr_venda_desconto,vlr_venda_praticado,margem_bruta
VND_00000001,SKU_141,202401,SP,LOJA,4,604.68,165.16,439.52,263.71
VND_00000248,SKU_134,2024/01,SP,LOJA,1,166.99,30.37,136.62,94.27
VND_00002084,SKU_110,202402,PR,LOJA,1,81.68,13.96,67.72,33.86
VND_00002240,SKU_093,2024/02,SP,LOJA,3,302.07,,302.07,175.2
VND_00004507,SKU_110,202403,PR,VD,1,81.68,,81.68,40.84
VND_00004777,SKU_140,2024/03,PR,LOJA,3,790.14,60.62,729.52,423.12
VND_00007417,SKU_116,202404,SP,LOJA,3,615.33,,615.33,430.73
VND_00007648,SKU_129,2024/04,PR,VD,4,390.6,95.92,294.68,170.91
VND_00010816,SKU_026,202405,PR,vd,3,156.36,33.57,122.79,68.76
VND_00011000,SKU_077,2024/05,SP,VD,1,71.92,11.95,59.97,30.58
VND_00014391,SKU_026,202406,SP,VD,1,52.12,,52.12,29.19
VND_00014428,SKU_029,2024/06,PR,LOJA,4,124.56,,124.56,64.77
VND_00019139,SKU_026,202407,PR,VD,3,156.36,37.88,118.48,66.35
VND_00019496,SKU_035,2024/07,SP,LOJA,2,82.7,6.36,76.34,50.38
VND_00021677,SKU_043,202408,SP,VD,2,119.22,,119.22,77.49
VND_00021842,SKU_150,2024/08,SP,VD,1,295.6,,295.6,177.36
VND_00026157,SKU_065,202409,SP,VD,3,808.23,145.17,663.06,457.51
VND_00026325,SKU_135,2024/09,PR,VD,1,165.97,,165.97,96.26
VND_00028541,SKU_086,202410,SP,VD,2,415.22,26.03,389.19,221.84
VND_00028716,SKU_026,2024/10,SP,LOJA,1,52.12,,52.12,29.19
VND_00031795,SKU_045,202411,PR,VD,1,28.36,,28.36,20.7
VND_00032333,SKU_127,2024/11,PR,VD,6,352.98,,352.98,229.44
VND_00035639,SKU_042,202412,SP,VD,1,78.53,,78.53,51.04
VND_00036249,SKU_005,2024/12,PR,LOJA,1,29.92,,29.92,20.64
VND_00038024,SKU_035,202413,SP,LOJA,1,41.35,,41.35,27.29
VND_00038118,SKU_147,2024/13,SP,VD,1,178.54,37.46,141.08,97.35
VND_00041325,SKU_064,202414,PR,VD,4,559.4,,559.4,352.42
VND_00041697,SKU_062,2024/14,SP,VD,1,141.7,26.42,115.28,85.31
VND_00044283,SKU_035,202415,SP,VD,1,41.35,9.8,31.55,20.82
VND_00044423,SKU_038,2024/15,PR,LOJA,1,258.53,,258.53,160.29
VND_00049179,SKU_113,202416,PR,LOJA,2,200.5,,200.5,136.34
VND_00049219,SKU_032,2024/16,SP,VD,1,24.62,,24.62,17.73
VND_00052966,SKU_043,202417,SP,LOJA,3,178.83,31.25,147.58,95.93
VND_00053174,SKU_005,2024/17,PR,VD,5,149.6,,149.6,103.22
VND_00059250,SKU_136,202501,SP,VD,2,179.42,,179.42,91.5
VND_00060142,SKU_016,2025/01,SP,VD,1,139.79,,139.79,92.26
VND_00061387,SKU_034,202502,PR,LOJA,1,66.41,10.65,55.76,37.36
VND_00061601,SKU_020,2025/02,SP,LOJA,1,48.87,6.93,41.94,21.81
VND_00063810,SKU_138,202503,SP,loja,6,737.22,,737.22,501.31
VND_00063853,SKU_057,2025/03,SP,LOJA,1,188.65,,188.65,122.62
VND_00066393,SKU_064,202504,SP,VD,2,279.7,,279.7,176.21
VND_00066468,SKU_021,2025/04,PR,LOJA,1,319.92,64.19,255.73,181.57
VND_00070069,SKU_104,202505,SP,VD,4,812.88,223.37,589.51,383.18
VND_00070176,SKU_140,2025/05,SP,LOJA,1,263.38,13.28,250.1,145.06
VND_00074368,SKU_043,202506,PR,VD,2,119.22,,119.22,77.49
VND_00074666,SKU_085,2025/06,SP,VD,4,1050.2,,1050.2,766.65
VND_00079124,SKU_045,202507,PR,VD,1,28.36,8.42,19.94,14.56
VND_00079428,SKU_087,2025/07,SP,VD,4,1266.92,217.76,1049.16,524.58
VND_00081201,SKU_037,202508,SP,VD,7,1196.86,130.55,1066.31,725.09
VND_00081496,SKU_137,2025/08,PR,LOJA,2,79.78,,79.78,55.85
VND_00085445,SKU_027,202509,SP,VD,2,311.42,,311.42,171.28
VND_00086245,SKU_017,2025/09,PR,LOJA,1,156.19,,156.19,78.09
VND_00088067,SKU_052,202510,SP,VD,1,122.04,,122.04,80.55
VND_00088225,SKU_131,2025/10,SP,LOJA,1,23.72,,23.72,14.23
VND_00091057,SKU_078,202511,SP,VD,1,24.72,,24.72,14.09
VND_00091130,SKU_002,2025/11,SP,VD,4,618.88,,618.88,408.46
VND_00095431,SKU_061,202512,SP,VD,1,61.98,,61.98,44.01
VND_00095476,SKU_082,2025/12,SP,VD,4,603.92,,603.92,320.08
VND_00097995,SKU_112,202513,SP,VD,1,221.36,,221.36,132.82
VND_00098000,SKU_002,2025/13,SP,LOJA,2,309.44,,309.44,204.23
VND_00101316,SKU_147,202514,PR,VD,2,357.08,,357.08,246.39
VND_00101405,SKU_020,2025/14,SP,LOJA,1,48.87,13.53,35.34,18.38
VND_00105305,SKU_112,202515,SP,LOJA,1,221.36,,221.36,132.82
VND_00105316,SKU_132,2025/15,SP,VD,3,828.51,,828.51,571.67
VND_00111274,SKU_139,202516,SP,LOJA,3,389.58,,389.58,268.81
VND_00111487,SKU_123,2025/16,SP,LOJA,3,409.59,,409.59,290.81
VND_00115520,SKU_041,202517,PR,VD,1,68.15,,68.15,47.02
VND_00115631,SKU_068,2025/17,SP,LOJA,-1,-32.33,,-32.33,-19.07
VND_00122223,SKU_032,202601,PR,VD,6,147.72,,147.72,106.36
VND_00122412,SKU_137,2026/01,SP,loja,1,39.89,,39.89,27.92
VND_00124544,SKU_023,202602,PR,VD,3,121.68,22.06,99.62,53.79
VND_00125006,SKU_150,2026/02,SP,LOJA,1,295.6,,295.6,177.36
VND_00127019,SKU_121,202603,PR,VD,1,93.14,21.38,71.76,49.51
VND_00127076,SKU_057,2026/03,PR,LOJA,3,565.95,118.34,447.61,290.95
VND_00130165,SKU_067,202604,SP,VD,-2,-611.32,,-611.32,-372.91
VND_00130374,SKU_137,2026/04,SP,VD,3,119.67,,119.67,83.77
VND_00133031,SKU_061,202605,PR,LOJA,1,61.98,,61.98,44.01
VND_00133200,SKU_011,2026/05,SP,VD,5,1001.95,,1001.95,480.94
VND_00136661,SKU_119,202606,SP,VD,4,879.56,,879.56,527.74
VND_00136702,SKU_133,2026/06,PR,VD,1,28.74,,28.74,14.94
VND_00142282,SKU_027,202607,SP,VD,1,155.71,,155.71,85.64
VND_00142385,SKU_075,2026/07,SP,LOJA,2,42.74,2.16,40.58,30.03
VND_00144912,SKU_045,202608,PR,LOJA,5,141.8,,141.8,103.51
VND_00144980,SKU_041,2026/08,PR,VD,3,204.45,49.7,154.75,106.78
VND_00149705,SKU_073,202609,SP,VD,3,267.33,,267.33,133.66
VND_00149719,SKU_045,2026/09,SP,VD,2,56.72,,56.72,41.41
