metric,t0_idx,t0_ciclo,n_projetos_celula,projetos,n_pre,n_post,n_post_roi,n_post_calendario,n_post_excluido_phase_out,janela_roi_incompleta,shelf_end_idx,n_donors,status,cell_id,marca_std,subcategoria,faixa_preco,rmspe_pre,rmspe_post,fit_rel_pre,att_media_ciclo,att_soma_pos,att_soma_roi,y_pre_media,synth_pre_media,y_post_media,synth_post_media,placebo_pvalue_rmspe_ratio,n_placebos,rmspe_ratio,placebo_ratio_mediana
gmv,4,202405,1,PROJ_2025_05,4,39,17,39,0,False,,36,sem_incumbente,Eudora|Colônia Infantil|P5,Eudora,Colônia Infantil,P5,,,,,,,,,,,,,,
gmv,24,202508,1,PROJ_2025_04,24,19,17,19,0,False,,36,sem_incumbente,Eudora|Condicionador|P2,Eudora,Condicionador,P2,,,,,,,,,,,,,,
gmv,24,202508,1,PROJ_2024_06,24,19,17,19,0,False,,36,sem_incumbente,Eudora|Condicionador|P3,Eudora,Condicionador,P3,,,,,,,,,,,,,,
gmv,19,202503,1,PROJ_2025_07,19,24,17,24,0,False,,36,sem_incumbente,Eudora|Condicionador|P5,Eudora,Condicionador,P5,,,,,,,,,,,,,,
gmv,25,202509,1,PROJ_2025_03,25,18,17,18,0,False,,36,sem_incumbente,Eudora|Hidratante Corporal|P4,Eudora,Hidratante Corporal,P4,,,,,,,,,,,,,,
gmv,18,202502,1,PROJ_2025_10,18,25,17,25,0,False,,36,ok,Eudora|Máscara|P1,Eudora,Máscara,P1,614.5001522384222,566.0950489238437,0.0877576187716015,-6.9083820807840315,-172.70955201960078,-1725.2334524380026,7002.242777777778,7002.242777777779,4793.9704,4800.878782080785,0.8571428571428571,35.0,0.9212284925589447,2.1506969348158163
gmv,28,202512,1,PROJ_2024_08,28,15,15,15,0,True,,36,ok,Eudora|Máscara|P3,Eudora,Máscara,P3,1815.2118604629434,3487.6247528729114,0.08929220346570096,1674.289652168047,25114.344782520704,25114.344782520704,20328.895357142854,20328.89535714286,15504.896666666667,13830.607014498615,0.22857142857142856,35.0,1.9213320653289712,1.3519020960091144
gmv,26,202510,1,PROJ_2024_11,26,17,17,17,0,False,,36,ok,Eudora|Perfume Feminino|P1,Eudora,Perfume Feminino,P1,933.0744844143037,1713.5959555775248,0.06306357621782593,1454.3246704270553,24723.51939725994,24723.51939725994,14795.775000000001,14795.775000000003,7127.154117647058,5672.829447220004,0.37142857142857144,35.0,1.8365049995479825,1.5573498184360282
gmv,27,202511,1,PROJ_2025_01,27,16,16,16,0,True,,36,sem_incumbente,Eudora|Perfume Feminino|P3,Eudora,Perfume Feminino,P3,,,,,,,,,,,,,,
gmv,7,202408,1,PROJ_2024_01,7,36,17,36,0,False,,36,ok,Eudora|Perfume Masculino|P1,Eudora,Perfume Masculino,P1,326.8510121923832,1281.5985679983107,0.03220989030196188,-291.72470651226536,-10502.089434441554,429.5760571736614,10147.535714285714,10147.535714285712,7902.495555555556,8194.220262067822,0.6,35.0,3.9210481846204805,5.908039037412434
gmv,17,202501,2,"PROJ_2024_10,PROJ_2025_11",17,26,17,26,0,False,,36,ok,Eudora|Perfume Masculino|P3,Eudora,Perfume Masculino,P3,5521.334180203608,3088.2116441542144,0.258821914854824,-703.8065926912327,-18298.97140997205,-14430.471621845385,21332.560588235294,21332.560588235297,14226.278076923078,14930.084669614309,0.9428571428571428,35.0,0.5593234430958373,2.009226597426384
gmv,27,202511,1,PROJ_2025_09,27,11,11,16,5,True,37.0,36,ok,Eudora|Perfume Masculino|P4,Eudora,Perfume Masculino,P4,2659.7463619755554,3295.4014276583966,0.09958684543568491,-123.3971098323142,-1357.3682081554562,-1357.3682081554562,26707.808148148146,26707.808148148142,21020.894545454546,21144.29165528686,0.6,35.0,1.2389908582150297,1.328213185509799
gmv,27,202511,1,PROJ_2024_04,27,16,16,16,0,True,,36,sem_incumbente,Eudora|Perfume Masculino|P6,Eudora,Perfume Masculino,P6,,,,,,,,,,,,,,
gmv,28,202512,1,PROJ_2024_02,28,15,15,15,0,True,,36,sem_incumbente,Eudora|Sabonete Líquido|P1,Eudora,Sabonete Líquido,P1,,,,,,,,,,,,,,
