metric,marca_std,subcategoria,t0_idx,t0_ciclo,n_projetos_nicho,projetos,n_pre,n_post,status,rmspe_pre,rmspe_post,fit_rel_pre,att_media_ciclo,att_soma_pos,y_pre_media,synth_pre_media,y_post_media,synth_post_media,placebo_pvalue_rmspe_ratio,n_placebos,rmspe_ratio
gmv,Eudora,Colônia Infantil,4,202405,1,PROJ_2025_05,4,39,sem_incumbente,,,,,,,,,,,,
gmv,Eudora,Condicionador,19,202503,3,"PROJ_2024_06,PROJ_2025_04,PROJ_2025_07",19,24,ok,2552.69277106702,11307.262557485534,0.06788929697737273,10154.933812579326,243718.4115019038,37600.81315789474,37600.81315789474,30753.87833333333,20598.94452075401,0.0,8.0,4.429543063562296
gmv,Eudora,Hidratante Corporal,25,202509,1,PROJ_2025_03,25,18,ok,14628.566579753797,12433.391878735534,0.0766606192984041,-7316.081730810054,-131689.47115458097,190822.44199999998,190822.44200000004,141979.69222222225,149295.7739530323,0.75,8.0,0.8499391796830986
gmv,Eudora,Máscara,18,202502,2,"PROJ_2024_08,PROJ_2025_10",18,25,ok,5768.522517422578,7093.987114730318,0.0657220184698617,4729.5107499870555,118237.7687496764,87771.53611111111,87771.53611111114,62618.4488,57888.93805001294,0.75,8.0,1.2297754049333187
gmv,Eudora,Perfume Feminino,26,202510,2,"PROJ_2024_11,PROJ_2025_01",26,17,ok,3478.532036000956,2048.9846027885806,0.19609933486731376,-1600.2004443720466,-27203.407554324793,17738.62230769231,17738.622307692305,7127.154117647058,8727.354562019105,0.875,8.0,0.5890371517590409
gmv,Eudora,Perfume Masculino,7,202408,5,"PROJ_2024_01,PROJ_2024_04,PROJ_2024_10,PROJ_2025_09,PROJ_2025_11",7,36,ok,6725.266619456585,16617.16963911527,0.053263121729457005,11590.025241567164,417240.90869641793,126264.97285714287,126264.9728571429,94608.03333333334,83018.00809176617,0.75,8.0,2.4708566335557367
gmv,Eudora,Sabonete Líquido,28,202512,1,PROJ_2024_02,28,15,ok,2998.7021245041637,5844.2920203470985,0.08154071307500653,3581.668412085649,53725.02618128473,36775.52,36775.52000000001,30336.005333333334,26754.336921247686,0.125,8.0,1.948940500821986
gmv,Eudora,Shampoo,0,202401,4,"PROJ_2024_03,PROJ_2024_09,PROJ_2024_12,PROJ_2025_08",0,43,sem_pre_periodo_suficiente,,,,,,,,,,,,
gmv,Eudora,Sérum,23,202507,1,PROJ_2025_13,23,20,ok,1476.6718349846478,512.9425187328142,0.17192072832638058,-172.60689151914374,-3452.1378303828747,8589.26,8589.260000000002,4342.3795,4514.986391519144,1.0,8.0,0.34736392106926517
gmv,O Boticário,Máscara,18,202502,1,PROJ_2025_06,18,25,ok,3570.4054401341295,6091.996989247517,0.0714796710724861,-2582.4468544214183,-64561.17136053546,49949.94222222222,49949.94222222223,32944.2568,35526.70365442141,0.5,8.0,1.7062479573800613
gmv,O Boticário,Perfume Feminino,3,202404,2,"PROJ_2024_05,PROJ_2025_12",3,40,sem_pre_periodo_suficiente,,,,,,,,,,,,
gmv,O Boticário,Sabonete Líquido,24,202508,2,"PROJ_2024_07,PROJ_2025_02",24,19,ok,8258.305333190829,17241.27619976112,0.06557678583326323,8958.370993373293,170209.04887409258,125933.36541666667,125933.36541666667,91747.51736842105,82789.14637504777,0.125,8.0,2.087749908018897
mb,Eudora,Colônia Infantil,4,202405,1,PROJ_2025_05,4,39,sem_incumbente,,,,,,,,,,,,
mb,Eudora,Condicionador,19,202503,3,"PROJ_2024_06,PROJ_2025_04,PROJ_2025_07",19,24,ok,1450.4231580643932,7266.853279824084,0.0681561931594447,6606.661943490893,158559.8866437814,21280.87105263158,21280.871052631584,17421.18875,10814.526806509108,0.0,8.0,5.010160820599269
mb,Eudora,Hidratante Corporal,25,202509,1,PROJ_2025_03,25,18,ok,7982.614926938559,6816.052591906585,0.07339953549947248,-3832.7811455744763,-68990.06062034058,108755.66,108755.66,80948.01444444444,84780.79559001893,0.75,8.0,0.8538621309296494
mb,Eudora,Máscara,18,202502,2,"PROJ_2024_08,PROJ_2025_10",18,25,ok,3328.8687664578333,5384.1177584032375,0.06604701632039243,4332.168666728044,108304.2166682011,50401.501111111116,50401.50111111112,36011.5016,31679.332933271955,0.625,8.0,1.617401626839241
mb,Eudora,Perfume Feminino,26,202510,2,"PROJ_2024_11,PROJ_2025_01",26,17,ok,2266.5032469285793,911.3058150235333,0.19254235702018951,-314.09103493518114,-5339.54759389808,11771.452692307696,11771.452692307697,5060.192352941176,5374.283387876357,1.0,8.0,0.4020756715254994
mb,Eudora,Perfume Masculino,7,202408,5,"PROJ_2024_01,PROJ_2024_04,PROJ_2024_10,PROJ_2025_09,PROJ_2025_11",7,36,ok,3087.296759592744,7087.146324042459,0.04055383934448673,1446.6427853124212,52079.14027124716,76128.34714285714,76128.34714285714,57507.645,56061.00221468758,0.875,8.0,2.2955831187985147
mb,Eudora,Sabonete Líquido,28,202512,1,PROJ_2024_02,28,15,ok,1953.3096423677669,3707.252688534809,0.08299172046836224,2176.652133311295,32649.781999669427,23536.198928571426,23536.198928571426,19414.93,17238.277866688706,0.125,8.0,1.8979339517522391
mb,Eudora,Shampoo,0,202401,4,"PROJ_2024_03,PROJ_2024_09,PROJ_2024_12,PROJ_2025_08",0,43,sem_pre_periodo_suficiente,,,,,,,,,,,,
mb,Eudora,Sérum,23,202507,1,PROJ_2025_13,23,20,ok,853.1273102909425,362.28131352377244,0.1575623511540764,168.09294035041898,3361.8588070083797,5414.537826086957,5414.537826086955,2822.6150000000002,2654.522059649581,0.875,8.0,0.42465093914321345
mb,O Boticário,Máscara,18,202502,1,PROJ_2025_06,18,25,ok,2083.4845660782676,3619.8745802099693,0.0710190943215641,-1656.6404444422833,-41416.01111105708,29336.963333333333,29336.963333333337,19168.507199999996,20825.147644442284,0.5,8.0,1.7374136766578698
mb,O Boticário,Perfume Feminino,3,202404,2,"PROJ_2024_05,PROJ_2025_12",3,40,sem_pre_periodo_suficiente,,,,,,,,,,,,
mb,O Boticário,Sabonete Líquido,24,202508,2,"PROJ_2024_07,PROJ_2025_02",24,19,ok,5013.949004004949,11100.136026773345,0.06371586844081151,6176.026550680568,117344.5044629308,78692.31208333334,78692.31208333335,57849.305789473685,51673.27923879312,0.0,8.0,2.2138510020558617
