marca_std,subcategoria,faixa_preco,t0_idx,t0_ciclo,n_projetos,projetos,skus,n_incumbent,shelf_end_idx
Eudora,Colônia Infantil,P5,4,202405,1,PROJ_2025_05,SKU_108,0,
Eudora,Condicionador,P2,24,202508,1,PROJ_2025_04,SKU_095,0,
Eudora,Condicionador,P3,24,202508,1,PROJ_2024_06,SKU_006,0,
Eudora,Condicionador,P5,19,202503,1,PROJ_2025_07,SKU_082,0,
Eudora,Hidratante Corporal,P4,25,202509,1,PROJ_2025_03,SKU_102,0,
Eudora,Máscara,P1,18,202502,1,PROJ_2025_10,SKU_083,1,
Eudora,Máscara,P3,28,202512,1,PROJ_2024_08,SKU_070,1,
Eudora,Perfume Feminino,P1,26,202510,1,PROJ_2024_11,SKU_081,2,
Eudora,Perfume Feminino,P3,27,202511,1,PROJ_2025_01,SKU_019,0,
Eudora,Perfume Masculino,P1,7,202408,1,PROJ_2024_01,SKU_120,1,
Eudora,Perfume Masculino,P3,17,202501,2,"PROJ_2024_10,PROJ_2025_11","SKU_008,SKU_053",2,
Eudora,Perfume Masculino,P4,27,202511,1,PROJ_2025_09,SKU_118,1,37.0
Eudora,Perfume Masculino,P6,27,202511,1,PROJ_2024_04,SKU_114,0,
Eudora,Sabonete Líquido,P1,28,202512,1,PROJ_2024_02,SKU_094,0,
Eudora,Shampoo,P2,25,202509,1,PROJ_2024_03,SKU_124,0,
Eudora,Shampoo,P3,26,202510,1,PROJ_2024_12,SKU_059,0,
Eudora,Shampoo,P5,27,202511,1,PROJ_2025_08,SKU_039,2,
Eudora,Shampoo,P6,0,202401,1,PROJ_2024_09,SKU_085,1,
Eudora,Sérum,P6,23,202507,1,PROJ_2025_13,SKU_112,0,
O Boticário,Máscara,P1,18,202502,1,PROJ_2025_06,SKU_092,1,23.0
O Boticário,Perfume Feminino,P5,23,202507,1,PROJ_2024_05,SKU_055,0,
O Boticário,Perfume Feminino,P6,3,202404,1,PROJ_2025_12,SKU_119,1,35.0
O Boticário,Sabonete Líquido,P2,24,202508,1,PROJ_2024_07,SKU_040,3,
O Boticário,Sabonete Líquido,P6,34,202601,1,PROJ_2025_02,SKU_089,1,
