event_time,observado,sintetico,gap
-8,66454.4625,67862.74124702446,-1408.2787470244557
-7,54248.74555555555,52756.49519189807,1492.2503636574831
-6,57102.391111111116,55961.03735655883,1141.3537545522809
-5,61168.65666666667,62960.847311558566,-1792.1906448918894
-4,81864.2611111111,79782.18615965491,2082.074951456196
-3,80497.61777777778,78890.73339902305,1606.8843787547269
-2,80120.36222222222,79363.93056811705,756.4316541051762
-1,55518.38222222222,52137.95847017045,3380.4237520517718
0,56461.433333333334,55909.93795835463,551.4953749786923
1,47758.334444444445,43947.03806321803,3811.296381226419
2,63841.35666666666,58211.77543540453,5629.581231262138
3,61409.518888888895,58818.731026410445,2590.7878624784385
4,49360.14666666667,49676.29279277489,-316.1461261082255
5,53886.30777777778,53148.21841900015,738.0893587776268
6,63602.288888888885,61894.134702509735,1708.1541863791579
7,66097.1211111111,62674.481452535685,3422.639658575421
8,69881.84111111112,65709.01952905604,4172.821582055077
9,66007.8488888889,61575.24902614814,4432.599862740747
10,36239.369999999995,34294.09743504744,1945.2725649525585
11,46091.764444444445,43250.36994289259,2841.3945015518534
12,47368.56555555556,42776.19656070994,4592.3689948456085
