id_projeto,cod_sku_lancamento,marca_std,subcategoria,faixa_preco,n_projetos_celula,att_status,n_post_roi,ciclos_expostos,janela_roi_incompleta,fit_rel_pre_gmv,fit_rel_pre_mb,placebo_pvalue_gmv,placebo_pvalue_mb,gmv,mb,gmv_spillover_alocado,mb_spillover_alocado,gmv_incremental,mb_incremental,investimento_mkt_rs,payback_parcial_midia,roi_parcial_midia,alerta_pouco_tempo,selo
PROJ_2024_01,SKU_120,Eudora,Perfume Masculino,P1,1,ok,17,36,False,0.03220989030196188,0.03220836055218952,0.6,0.6,113494.03,74904.37,429.5760571736614,253.0969108614795,113923.60605717366,75157.46691086148,250000.0,-174842.5330891385,-0.699370132356554,False,Não paga a mídia
PROJ_2024_02,SKU_094,Eudora,Sabonete Líquido,P1,1,sem_incumbente,15,15,True,,,,,92255.67,61811.99999999999,,,,,750000.0,,,True,Não dá para medir: sem produto antigo na faixa
PROJ_2024_03,SKU_124,Eudora,Shampoo,P2,1,sem_incumbente,17,18,False,,,,,215631.8,140161.91999999998,,,,,750000.0,,,False,Não dá para medir: sem produto antigo na faixa
PROJ_2024_04,SKU_114,Eudora,Perfume Masculino,P6,1,sem_incumbente,16,13,True,,,,,949912.62,560447.0700000001,,,,,750000.0,,,True,Não dá para medir: sem produto antigo na faixa
PROJ_2024_05,SKU_055,O Boticário,Perfume Feminino,P5,1,sem_incumbente,17,13,False,,,,,438398.76,223583.18,,,,,250000.0,,,False,Não dá para medir: sem produto antigo na faixa
PROJ_2024_06,SKU_006,Eudora,Condicionador,P3,1,sem_incumbente,17,19,False,,,,,250056.78000000003,137532.74000000002,,,,,500000.0,,,False,Não dá para medir: sem produto antigo na faixa
PROJ_2024_07,SKU_040,O Boticário,Sabonete Líquido,P2,1,ok,17,19,False,0.035312202668480064,0.03764942613273648,0.14285714285714285,0.2571428571428571,171121.13,124920.28,-73377.57509118694,-30865.247027962956,97743.55490881306,94055.03297203704,250000.0,-155944.96702796296,-0.6237798681118518,False,Não paga a mídia
PROJ_2024_08,SKU_070,Eudora,Máscara,P3,1,ok,15,12,True,0.08929220346570096,0.0894707386469795,0.22857142857142856,0.2571428571428571,220087.43,110042.09,25114.344782520704,12237.373813622804,245201.7747825207,122279.4638136228,750000.0,-627720.5361863772,-0.8369607149151695,True,Ano 1 incompleto
PROJ_2024_09,SKU_085,Eudora,Shampoo,P6,1,sem_pre_periodo_suficiente,17,43,False,,,,,1400936.2300000002,1022680.82,,,,,750000.0,,,False,Não dá para medir: sem histórico antes do lançamento
PROJ_2024_10,SKU_008,Eudora,Perfume Masculino,P3,2,ok,17,26,False,0.258821914854824,0.18001639032903324,0.9428571428571428,0.9142857142857143,258094.28,188406.25999999998,-14430.471621845385,-7847.059015973569,243663.80837815462,180559.20098402642,500000.0,-319440.7990159736,-0.6388815980319471,False,Não paga a mídia
PROJ_2024_11,SKU_081,Eudora,Perfume Feminino,P1,1,ok,17,17,False,0.06306357621782593,0.06341803612488907,0.37142857142857144,0.2571428571428571,114012.52,59284.479999999996,24723.51939725994,18521.787415489158,138736.03939725994,77806.26741548916,500000.0,-422193.7325845108,-0.8443874651690216,False,Não paga a mídia
PROJ_2024_12,SKU_059,Eudora,Shampoo,P3,1,sem_incumbente,17,12,False,,,,,215323.38,150726.27,,,,,1200000.0,,,False,Não dá para medir: sem produto antigo na faixa
PROJ_2025_01,SKU_019,Eudora,Perfume Feminino,P3,1,sem_incumbente,16,12,True,,,,,204393.08000000002,124678.76,,,,,1200000.0,,,True,Não dá para medir: sem produto antigo na faixa
PROJ_2025_02,SKU_089,O Boticário,Sabonete Líquido,P6,1,ok,9,9,True,0.09159226460608265,0.09177438148176816,0.11428571428571428,0.11428571428571428,389474.45999999996,288211.73,24283.773847258773,14930.071794589327,413758.2338472587,303141.8017945893,250000.0,53141.80179458932,0.21256720717835728,True,Ano 1 incompleto
PROJ_2025_03,SKU_102,Eudora,Hidratante Corporal,P4,1,sem_incumbente,17,18,False,,,,,441644.54,326817.50999999995,,,,,500000.0,,,False,Não dá para medir: sem produto antigo na faixa
PROJ_2025_04,SKU_095,Eudora,Condicionador,P2,1,sem_incumbente,17,19,False,,,,,193929.3,126052.83,,,,,750000.0,,,False,Não dá para medir: sem produto antigo na faixa
PROJ_2025_05,SKU_108,Eudora,Colônia Infantil,P5,1,sem_incumbente,17,39,False,,,,,718353.73,359176.86,,,,,500000.0,,,False,Não dá para medir: sem produto antigo na faixa
PROJ_2025_06,SKU_092,O Boticário,Máscara,P1,1,ok,6,25,True,0.0665114209522736,0.06652957823293953,0.7714285714285715,0.7714285714285715,37584.47,21423.780000000002,432.0455685457341,258.2093374546512,38016.515568545736,21681.989337454652,500000.0,-478318.01066254533,-0.9566360213250906,True,Ano 1 incompleto
PROJ_2025_07,SKU_082,Eudora,Condicionador,P5,1,sem_incumbente,17,24,False,,,,,566634.21,300317.44,,,,,500000.0,,,False,Não dá para medir: sem produto antigo na faixa
PROJ_2025_08,SKU_039,Eudora,Shampoo,P5,1,ok,16,16,True,0.06564963100294986,0.06404770929157742,0.45714285714285713,0.45714285714285713,573325.86,407062.69999999995,114976.3020905206,71727.99486361427,688302.1620905206,478790.6948636142,2000000.0,-1521209.3051363858,-0.7606046525681929,True,Ano 1 incompleto
PROJ_2025_09,SKU_118,Eudora,Perfume Masculino,P4,1,ok,11,16,True,0.09958684543568491,0.09932768721105842,0.6,0.5714285714285714,283037.45999999996,164161.8,-1357.3682081554562,-704.2772466057777,281680.0917918445,163457.5227533942,2000000.0,-1836542.4772466058,-0.9182712386233028,True,Ano 1 incompleto
