marca_std,subcategoria,faixa_preco,ciclo_idx,cod_ciclo,valor
Eudora,Condicionador,P1,0,202401,7699.139999999999
Eudora,Condicionador,P1,1,202402,6564.46
Eudora,Condicionador,P1,2,202403,10359.22
Eudora,Condicionador,P1,3,202404,9813.77
Eudora,Condicionador,P1,4,202405,8911.09
Eudora,Condicionador,P1,5,202406,13912.19
Eudora,Condicionador,P1,6,202407,7003.49
Eudora,Condicionador,P1,7,202408,14128.81
Eudora,Condicionador,P1,8,202409,5770.82
Eudora,Condicionador,P1,9,202410,9193.0
Eudora,Condicionador,P1,10,202411,7819.79
Eudora,Condicionador,P1,11,202412,5636.29
Eudora,Condicionador,P1,12,202413,8430.71
Eudora,Condicionador,P1,13,202414,5661.26
Eudora,Condicionador,P1,14,202415,11711.16
Eudora,Condicionador,P1,15,202416,9431.63
Eudora,Condicionador,P1,16,202417,14746.14
Eudora,Condicionador,P1,17,202501,5221.18
Eudora,Condicionador,P1,18,202502,4970.86
Eudora,Condicionador,P1,19,202503,5171.7
Eudora,Condicionador,P1,20,202504,8236.95
Eudora,Condicionador,P1,21,202505,9421.03
Eudora,Condicionador,P1,22,202506,11164.43
Eudora,Condicionador,P1,23,202507,3978.12
Eudora,Condicionador,P1,24,202508,8649.83
Eudora,Condicionador,P1,25,202509,5256.3099999999995
Eudora,Condicionador,P1,26,202510,5538.15
Eudora,Condicionador,P1,27,202511,7953.55
Eudora,Condicionador,P1,28,202512,3453.6099999999997
Eudora,Condicionador,P1,29,202513,5839.03
Eudora,Condicionador,P1,30,202514,7018.639999999999
Eudora,Condicionador,P1,31,202515,9696.449999999999
Eudora,Condicionador,P1,32,202516,8700.41
Eudora,Condicionador,P1,33,202517,9821.949999999999
Eudora,Condicionador,P1,34,202601,3221.18
Eudora,Condicionador,P1,35,202602,3762.7599999999998
Eudora,Condicionador,P1,36,202603,5591.92
Eudora,Condicionador,P1,37,202604,5617.16
Eudora,Condicionador,P1,38,202605,6653.179999999999
Eudora,Condicionador,P1,39,202606,11203.17
Eudora,Condicionador,P1,40,202607,5099.8099999999995
Eudora,Condicionador,P1,41,202608,9109.18
Eudora,Condicionador,P1,42,202609,6178.4
Eudora,Condicionador,P4,0,202401,27001.69
Eudora,Condicionador,P4,1,202402,27595.55
Eudora,Condicionador,P4,2,202403,30607.31
Eudora,Condicionador,P4,3,202404,31581.11
Eudora,Condicionador,P4,4,202405,31288.42
Eudora,Condicionador,P4,5,202406,40382.63
Eudora,Condicionador,P4,6,202407,24434.28
Eudora,Condicionador,P4,7,202408,39874.13
Eudora,Condicionador,P4,8,202409,25177.33
Eudora,Condicionador,P4,9,202410,27831.09
Eudora,Condicionador,P4,10,202411,28586.06
Eudora,Condicionador,P4,11,202412,23694.68
Eudora,Condicionador,P4,12,202413,22778.35
Eudora,Condicionador,P4,13,202414,19559.85
Eudora,Condicionador,P4,14,202415,35993.19
Eudora,Condicionador,P4,15,202416,26898.46
Eudora,Condicionador,P4,16,202417,51360.01
Eudora,Condicionador,P4,17,202501,15770.38
Eudora,Condicionador,P4,18,202502,17015.92
Eudora,Condicionador,P4,19,202503,23870.39
Eudora,Condicionador,P4,20,202504,27125.19
Eudora,Condicionador,P4,21,202505,29783.55
Eudora,Condicionador,P4,22,202506,34252.55
Eudora,Condicionador,P4,23,202507,18476.83
Eudora,Condicionador,P4,24,202508,31186.9
Eudora,Condicionador,P4,25,202509,19345.21
Eudora,Condicionador,P4,26,202510,17519.27
Eudora,Condicionador,P4,27,202511,26610.44
Eudora,Condicionador,P4,28,202512,14553.67
Eudora,Condicionador,P4,29,202513,16945.34
Eudora,Condicionador,P4,30,202514,21292.62
Eudora,Condicionador,P4,31,202515,43402.67
Eudora,Condicionador,P4,32,202516,21767.51
Eudora,Condicionador,P4,33,202517,38638.79
Eudora,Condicionador,P4,34,202601,14782.66
Eudora,Condicionador,P4,35,202602,9787.39
Eudora,Condicionador,P4,36,202603,20463.399999999998
Eudora,Condicionador,P4,37,202604,21457.42
Eudora,Condicionador,P4,38,202605,21494.75
Eudora,Condicionador,P4,39,202606,38678.51
Eudora,Condicionador,P4,40,202607,15228.34
Eudora,Condicionador,P4,41,202608,25661.51
Eudora,Condicionador,P4,42,202609,19431.25
Eudora,Hidratante Corporal,P5,0,202401,100603.81
Eudora,Hidratante Corporal,P5,1,202402,98485.35
Eudora,Hidratante Corporal,P5,2,202403,97369.91
Eudora,Hidratante Corporal,P5,3,202404,140071.4
Eudora,Hidratante Corporal,P5,4,202405,110654.23
Eudora,Hidratante Corporal,P5,5,202406,165161.54
Eudora,Hidratante Corporal,P5,6,202407,77743.6
Eudora,Hidratante Corporal,P5,7,202408,148972.6
Eudora,Hidratante Corporal,P5,8,202409,77959.99
Eudora,Hidratante Corporal,P5,9,202410,101000.0
Eudora,Hidratante Corporal,P5,10,202411,119803.92
Eudora,Hidratante Corporal,P5,11,202412,59702.25
Eudora,Hidratante Corporal,P5,12,202413,84204.09
Eudora,Hidratante Corporal,P5,13,202414,76783.24
Eudora,Hidratante Corporal,P5,14,202415,132030.63
Eudora,Hidratante Corporal,P5,15,202416,105151.91
Eudora,Hidratante Corporal,P5,16,202417,164984.37
Eudora,Hidratante Corporal,P5,17,202501,56867.28
Eudora,Hidratante Corporal,P5,18,202502,56925.44
Eudora,Hidratante Corporal,P5,19,202503,67554.89
Eudora,Hidratante Corporal,P5,20,202504,87823.05
Eudora,Hidratante Corporal,P5,21,202505,105328.48
Eudora,Hidratante Corporal,P5,22,202506,115264.06
Eudora,Hidratante Corporal,P5,23,202507,50190.42
Eudora,Hidratante Corporal,P5,24,202508,87490.94
Eudora,Hidratante Corporal,P5,25,202509,61768.770000000004
Eudora,Hidratante Corporal,P5,26,202510,62704.43
Eudora,Hidratante Corporal,P5,27,202511,89290.3
Eudora,Hidratante Corporal,P5,28,202512,44527.94
Eudora,Hidratante Corporal,P5,29,202513,69833.88
Eudora,Hidratante Corporal,P5,30,202514,69241.12
Eudora,Hidratante Corporal,P5,31,202515,111348.41
Eudora,Hidratante Corporal,P5,32,202516,86188.23
Eudora,Hidratante Corporal,P5,33,202517,130823.95
Eudora,Hidratante Corporal,P5,34,202601,44312.72
Eudora,Hidratante Corporal,P5,35,202602,41477.53
Eudora,Hidratante Corporal,P5,36,202603,61490.090000000004
Eudora,Hidratante Corporal,P5,37,202604,50050.01
Eudora,Hidratante Corporal,P5,38,202605,70153.25
Eudora,Hidratante Corporal,P5,39,202606,96986.17
Eudora,Hidratante Corporal,P5,40,202607,66543.61
Eudora,Hidratante Corporal,P5,41,202608,103952.53
Eudora,Hidratante Corporal,P5,42,202609,56967.86
Eudora,Hidratante Corporal,P6,0,202401,81634.93000000001
Eudora,Hidratante Corporal,P6,1,202402,90190.92
Eudora,Hidratante Corporal,P6,2,202403,87478.31
Eudora,Hidratante Corporal,P6,3,202404,96067.57
Eudora,Hidratante Corporal,P6,4,202405,109879.69
Eudora,Hidratante Corporal,P6,5,202406,126943.88
Eudora,Hidratante Corporal,P6,6,202407,83001.47
Eudora,Hidratante Corporal,P6,7,202408,140171.68
Eudora,Hidratante Corporal,P6,8,202409,69416.08
Eudora,Hidratante Corporal,P6,9,202410,77306.32
Eudora,Hidratante Corporal,P6,10,202411,99739.55
Eudora,Hidratante Corporal,P6,11,202412,57603.96
Eudora,Hidratante Corporal,P6,12,202413,87098.49
Eudora,Hidratante Corporal,P6,13,202414,55619.39
Eudora,Hidratante Corporal,P6,14,202415,102366.39
Eudora,Hidratante Corporal,P6,15,202416,97831.86
Eudora,Hidratante Corporal,P6,16,202417,163544.33000000002
Eudora,Hidratante Corporal,P6,17,202501,48382.66
Eudora,Hidratante Corporal,P6,18,202502,70252.75
Eudora,Hidratante Corporal,P6,19,202503,61102.340000000004
Eudora,Hidratante Corporal,P6,20,202504,76763.86
Eudora,Hidratante Corporal,P6,21,202505,107710.8
Eudora,Hidratante Corporal,P6,22,202506,115126.79000000001
Eudora,Hidratante Corporal,P6,23,202507,61223.350000000006
Eudora,Hidratante Corporal,P6,24,202508,115976.28
Eudora,Hidratante Corporal,P6,25,202509,43642.47
Eudora,Hidratante Corporal,P6,26,202510,52242.15
Eudora,Hidratante Corporal,P6,27,202511,91474.18000000001
Eudora,Hidratante Corporal,P6,28,202512,44106.4
Eudora,Hidratante Corporal,P6,29,202513,41232.81
Eudora,Hidratante Corporal,P6,30,202514,88316.26000000001
Eudora,Hidratante Corporal,P6,31,202515,97007.57
Eudora,Hidratante Corporal,P6,32,202516,84811.62000000001
Eudora,Hidratante Corporal,P6,33,202517,123061.77
Eudora,Hidratante Corporal,P6,34,202601,35521.340000000004
Eudora,Hidratante Corporal,P6,35,202602,43752.64
Eudora,Hidratante Corporal,P6,36,202603,51863.79
Eudora,Hidratante Corporal,P6,37,202604,52417.310000000005
Eudora,Hidratante Corporal,P6,38,202605,64425.65
Eudora,Hidratante Corporal,P6,39,202606,118499.42
Eudora,Hidratante Corporal,P6,40,202607,54816.57
Eudora,Hidratante Corporal,P6,41,202608,93046.46
Eudora,Hidratante Corporal,P6,42,202609,57735.25
Eudora,Máscara,P1,0,202401,5252.79
Eudora,Máscara,P1,1,202402,5932.25
Eudora,Máscara,P1,2,202403,6016.63
Eudora,Máscara,P1,3,202404,8347.6
