id_projeto,cod_sku_lancamento,investimento_mkt_rs,expectativa_gmv_ano1,cod_sku_x,marca_std,categoria,subcategoria,faixa_preco,preco_regular,margem_bruta_pct,cod_ciclo_phase_in,cod_ciclo_phase_out,phase_in_idx,phase_out_idx,t0_idx,n_post_roi,cod_sku_y,gmv_vida,mb_vida,min_idx,max_idx,n_ciclos,gmv,mb,qty,ciclos_expostos,ciclos_janela_roi,atingimento_bruto_vs_exp,att_status,att_soma,janela_roi_incompleta,peso_alocacao_gmv,gmv_spillover_alocado,gmv_incremental,mb_spillover_alocado,mb_incremental,c_pd,c_estoque,c_sustentacao,custo_observado_midia,custo_full_parametrizado,payback_parcial_midia,roi_parcial_midia,roi_full,selo,alerta_pouco_tempo,n_projetos
PROJ_2024_01,SKU_120,250000.0,740659.83,SKU_120,Eudora,Perfumaria,Perfume Masculino,P1,24.25,0.66,202408,,7,,7,17,SKU_120,220231.92,145350.02,7,42,36,113494.03,74904.37,5063.0,36,17,0.1532336781380462,ok,429.5760571736614,False,1.0,429.5760571736614,113923.60605717366,253.0969108614795,75157.46691086148,0.0,0.0,0.0,250000.0,250000.0,-174842.5330891385,-0.699370132356554,-0.699370132356554,Não paga a mídia,False,1
PROJ_2024_02,SKU_094,750000.0,2000453.14,SKU_094,Eudora,Corpo e Banho,Sabonete Líquido,P1,28.49,0.67,202512,,28,,28,15,SKU_094,92255.67,61812.0,28,42,15,92255.67,61811.99999999999,3473.0,15,15,0.04611738618381234,sem_incumbente,,True,1.0,,,,,0.0,0.0,0.0,750000.0,750000.0,,,,Não dá para medir: sem produto antigo na faixa,True,1
PROJ_2024_03,SKU_124,750000.0,1970654.11,SKU_124,Eudora,Cabelos,Shampoo,P2,55.23,0.65,202509,,25,,25,17,SKU_124,224830.72,146141.28,25,42,18,215631.8,140161.91999999998,4218.0,18,17,0.10942143469307253,sem_incumbente,,False,1.0,,,,,0.0,0.0,0.0,750000.0,750000.0,,,,Não dá para medir: sem produto antigo na faixa,False,1
PROJ_2024_04,SKU_114,750000.0,2255437.56,SKU_114,Eudora,Perfumaria,Perfume Masculino,P6,313.58,0.59,202511,202606.0,27,39.0,27,16,SKU_114,949912.62,560447.07,27,39,13,949912.62,560447.0700000001,3264.0,13,16,0.4211655586688022,sem_incumbente,,True,1.0,,,,,0.0,0.0,0.0,750000.0,750000.0,,,,Não dá para medir: sem produto antigo na faixa,True,1
PROJ_2024_05,SKU_055,250000.0,500652.79,SKU_055,O Boticário,Perfumaria,Perfume Feminino,P5,151.51,0.51,202507,202602.0,23,35.0,23,17,SKU_055,438398.76,223583.18,23,35,13,438398.76,223583.18,3128.0,13,17,0.8756542832808343,sem_incumbente,,False,1.0,,,,,0.0,0.0,0.0,250000.0,250000.0,,,,Não dá para medir: sem produto antigo na faixa,False,1
PROJ_2024_06,SKU_006,500000.0,2186265.68,SKU_006,Eudora,Cabelos,Condicionador,P3,68.12,0.55,202508,,24,,24,17,SKU_006,285789.76,157186.14,24,42,19,250056.78000000003,137532.74000000002,3969.0,19,17,0.11437620884210194,sem_incumbente,,False,1.0,,,,,0.0,0.0,0.0,500000.0,500000.0,,,,Não dá para medir: sem produto antigo na faixa,False,1
PROJ_2024_07,SKU_040,250000.0,535205.27,SKU_040,O Boticário,Corpo e Banho,Sabonete Líquido,P2,46.09,0.73,202508,,24,,24,17,SKU_040,194363.84,141887.68,24,42,19,171121.13,124920.28,3984.0,19,17,0.31972990475224583,ok,-73377.57509118694,False,1.0,-73377.57509118694,97743.55490881306,-30865.247027962956,94055.03297203704,0.0,0.0,0.0,250000.0,250000.0,-155944.96702796296,-0.6237798681118518,-0.6237798681118518,Não paga a mídia,False,1
PROJ_2024_08,SKU_070,750000.0,2125280.16,SKU_070,Eudora,Cabelos,Máscara,P3,80.33,0.5,202512,202606.0,28,39.0,28,15,SKU_070,220087.43,110042.09,28,39,12,220087.43,110042.09,2958.0,12,15,0.10355690235211154,ok,25114.344782520704,True,1.0,25114.344782520704,245201.7747825207,12237.373813622804,122279.4638136228,0.0,0.0,0.0,750000.0,750000.0,-627720.5361863772,-0.8369607149151695,-0.8369607149151695,Ano 1 incompleto,True,1
PROJ_2024_09,SKU_085,750000.0,2103327.09,SKU_085,Eudora,Cabelos,Shampoo,P6,262.55,0.73,202401,,0,,0,17,SKU_085,2965955.2600000002,2165142.08,0,42,43,1400936.2300000002,1022680.82,5760.0,43,17,0.6660572369654595,sem_pre_periodo_suficiente,,False,1.0,,,,,0.0,0.0,0.0,750000.0,750000.0,,,,Não dá para medir: sem histórico antes do lançamento,False,1
PROJ_2024_10,SKU_008,500000.0,1614770.84,SKU_008,Eudora,Perfumaria,Perfume Masculino,P3,63.25,0.73,202501,,17,,17,17,SKU_008,375017.08,273758.77,17,42,26,258094.28,188406.25999999998,4404.0,26,17,0.15983337920568344,ok,-14430.471621845385,False,1.0,-14430.471621845385,243663.80837815462,-7847.059015973569,180559.20098402642,0.0,0.0,0.0,500000.0,500000.0,-319440.7990159736,-0.6388815980319471,-0.6388815980319471,Não paga a mídia,False,2
