id_projeto,cod_sku_lancamento,marca_std,subcategoria,faixa_preco,cod_ciclo_phase_in,ciclos_expostos,ciclos_janela_roi,n_post_roi,gmv,mb,expectativa_gmv_ano1,atingimento_bruto_vs_exp,investimento_mkt_rs,att_status,n_projetos,gmv_spillover_alocado,gmv_incremental,mb_spillover_alocado,mb_incremental,roi_parcial_midia,payback_parcial_midia,alerta_pouco_tempo,selo
PROJ_2024_01,SKU_120,Eudora,Perfume Masculino,P1,202408,36,17,17,113494.03,74904.37,740659.83,0.1532336781380462,250000.0,ok,1,429.5760571736614,113923.60605717366,253.0969108614795,75157.46691086148,-0.699370132356554,-174842.5330891385,False,Não paga a mídia
PROJ_2024_02,SKU_094,Eudora,Sabonete Líquido,P1,202512,15,15,15,92255.67,61811.99999999999,2000453.14,0.04611738618381234,750000.0,sem_incumbente,1,,,,,,,True,Não dá para medir: sem produto antigo na faixa
PROJ_2024_03,SKU_124,Eudora,Shampoo,P2,202509,18,17,17,215631.8,140161.91999999998,1970654.11,0.10942143469307253,750000.0,sem_incumbente,1,,,,,,,False,Não dá para medir: sem produto antigo na faixa
PROJ_2024_04,SKU_114,Eudora,Perfume Masculino,P6,202511,13,16,16,949912.62,560447.0700000001,2255437.56,0.4211655586688022,750000.0,sem_incumbente,1,,,,,,,True,Não dá para medir: sem produto antigo na faixa
PROJ_2024_05,SKU_055,O Boticário,Perfume Feminino,P5,202507,13,17,17,438398.76,223583.18,500652.79,0.8756542832808343,250000.0,sem_incumbente,1,,,,,,,False,Não dá para medir: sem produto antigo na faixa
PROJ_2024_06,SKU_006,Eudora,Condicionador,P3,202508,19,17,17,250056.78000000003,137532.74000000002,2186265.68,0.11437620884210194,500000.0,sem_incumbente,1,,,,,,,False,Não dá para medir: sem produto antigo na faixa
PROJ_2024_07,SKU_040,O Boticário,Sabonete Líquido,P2,202508,19,17,17,171121.13,124920.28,535205.27,0.31972990475224583,250000.0,ok,1,-73377.57509118694,97743.55490881306,-30865.247027962956,94055.03297203704,-0.6237798681118518,-155944.96702796296,False,Não paga a mídia
PROJ_2024_08,SKU_070,Eudora,Máscara,P3,202512,12,15,15,220087.43,110042.09,2125280.16,0.10355690235211154,750000.0,ok,1,25114.344782520704,245201.7747825207,12237.373813622804,122279.4638136228,-0.8369607149151695,-627720.5361863772,True,Ano 1 incompleto
PROJ_2024_09,SKU_085,Eudora,Shampoo,P6,202401,43,17,17,1400936.2300000002,1022680.82,2103327.09,0.6660572369654595,750000.0,sem_pre_periodo_suficiente,1,,,,,,,False,Não dá para medir: sem histórico antes do lançamento
PROJ_2024_10,SKU_008,Eudora,Perfume Masculino,P3,202501,26,17,17,258094.28,188406.25999999998,1614770.84,0.15983337920568344,500000.0,ok,2,-14430.471621845385,243663.80837815462,-7847.059015973569,180559.20098402642,-0.6388815980319471,-319440.7990159736,False,Não paga a mídia
PROJ_2024_11,SKU_081,Eudora,Perfume Feminino,P1,202510,17,17,17,114012.52,59284.479999999996,2196702.07,0.05190167640712425,500000.0,ok,1,24723.51939725994,138736.03939725994,18521.787415489158,77806.26741548916,-0.8443874651690216,-422193.7325845108,False,Não paga a mídia
PROJ_2024_12,SKU_059,Eudora,Shampoo,P3,202510,12,17,17,215323.38,150726.27,3837494.69,0.05611040467654693,1200000.0,sem_incumbente,1,,,,,,,False,Não dá para medir: sem produto antigo na faixa
PROJ_2025_01,SKU_019,Eudora,Perfume Feminino,P3,202511,12,16,16,204393.08000000002,124678.76,2855208.18,0.07158605156419803,1200000.0,sem_incumbente,1,,,,,,,True,Não dá para medir: sem produto antigo na faixa
PROJ_2025_02,SKU_089,O Boticário,Sabonete Líquido,P6,202601,9,9,9,389474.45999999996,288211.73,541616.68,0.7190961327114223,250000.0,ok,1,24283.773847258773,413758.2338472587,14930.071794589327,303141.8017945893,0.21256720717835728,53141.80179458932,True,Ano 1 incompleto
PROJ_2025_03,SKU_102,Eudora,Hidratante Corporal,P4,202509,18,17,17,441644.54,326817.50999999995,2113216.69,0.20899160132981914,500000.0,sem_incumbente,1,,,,,,,False,Não dá para medir: sem produto antigo na faixa
PROJ_2025_04,SKU_095,Eudora,Condicionador,P2,202508,19,17,17,193929.3,126052.83,2786819.49,0.06958803779573107,750000.0,sem_incumbente,1,,,,,,,False,Não dá para medir: sem produto antigo na faixa
PROJ_2025_05,SKU_108,Eudora,Colônia Infantil,P5,202405,39,17,17,718353.73,359176.86,1860942.29,0.38601612412172115,500000.0,sem_incumbente,1,,,,,,,False,Não dá para medir: sem produto antigo na faixa
PROJ_2025_06,SKU_092,O Boticário,Máscara,P1,202502,25,6,6,37584.47,21423.780000000002,1063839.31,0.03532908555522356,500000.0,ok,1,432.0455685457341,38016.515568545736,258.2093374546512,21681.989337454652,-0.9566360213250906,-478318.01066254533,True,Ano 1 incompleto
PROJ_2025_07,SKU_082,Eudora,Condicionador,P5,202503,24,17,17,566634.21,300317.44,1967003.63,0.28806973274370623,500000.0,sem_incumbente,1,,,,,,,False,Não dá para medir: sem produto antigo na faixa
PROJ_2025_08,SKU_039,Eudora,Shampoo,P5,202511,16,16,16,573325.86,407062.69999999995,6690298.0,0.08569511552400207,2000000.0,ok,1,114976.3020905206,688302.1620905206,71727.99486361427,478790.6948636142,-0.7606046525681929,-1521209.3051363858,True,Ano 1 incompleto
PROJ_2025_09,SKU_118,Eudora,Perfume Masculino,P4,202511,16,11,11,283037.45999999996,164161.8,8374930.81,0.033795796815663484,2000000.0,ok,1,-1357.3682081554562,281680.0917918445,-704.2772466057777,163457.5227533942,-0.9182712386233028,-1836542.4772466058,True,Ano 1 incompleto
PROJ_2025_10,SKU_083,Eudora,Máscara,P1,202502,25,17,17,97416.09000000001,54550.56999999999,5398687.94,0.01804440098828902,1200000.0,ok,1,-1725.2334524380026,95690.85654756201,-1277.0467816358214,53273.52321836417,-0.9556053973180298,-1146726.4767816358,False,Não paga a mídia
PROJ_2025_11,SKU_053,Eudora,Perfume Masculino,P3,202601,9,17,17,0.0,0.0,4827619.65,0.0,1200000.0,fora_da_janela_da_celula,2,,,,,,,True,Não dá para medir: SKU nasceu depois da janela da célula
PROJ_2025_12,SKU_119,O Boticário,Perfume Feminino,P6,202404,40,17,17,1067735.48,640639.44,2650735.64,0.4028072297696197,750000.0,sem_pre_periodo_suficiente,1,,,,,,,False,Não dá para medir: sem histórico antes do lançamento
PROJ_2025_13,SKU_112,Eudora,Sérum,P6,202507,20,17,17,855783.69,513471.65,1609877.59,0.5315830814192525,750000.0,sem_incumbente,1,,,,,,,False,Não dá para medir: sem produto antigo na faixa
