cod_sku_principal,cod_sku_similar,score,usable,motivo_exclusao
SKU_001,SKU_011,0.76,False,subcategoria_diferente
SKU_001,SKU_002,0.61,False,"score_abaixo_corte,subcategoria_diferente"
SKU_008,SKU_084,0.62,False,"score_abaixo_corte,subcategoria_diferente"
SKU_008,SKU_032,0.64,False,score_abaixo_corte
SKU_009,SKU_021,0.66,False,"score_abaixo_corte,subcategoria_diferente"
SKU_009,SKU_039,0.75,False,subcategoria_diferente
SKU_009,SKU_095,,False,"score_nulo,subcategoria_diferente"
SKU_010,SKU_002,0.87,False,subcategoria_diferente
SKU_010,SKU_131,0.65,False,"score_abaixo_corte,subcategoria_diferente"
SKU_011,SKU_053,0.94,False,subcategoria_diferente
SKU_011,SKU_091,,False,"score_nulo,subcategoria_diferente"
SKU_012,SKU_096,0.64,False,"score_abaixo_corte,subcategoria_diferente"
SKU_012,SKU_085,0.73,False,subcategoria_diferente
SKU_012,SKU_028,0.82,False,subcategoria_diferente
SKU_013,SKU_126,0.64,False,"score_abaixo_corte,subcategoria_diferente"
SKU_013,SKU_026,,False,"score_nulo,subcategoria_diferente"
SKU_013,SKU_117,0.74,False,subcategoria_diferente
SKU_014,SKU_028,0.92,False,subcategoria_diferente
SKU_014,SKU_041,,False,"score_nulo,subcategoria_diferente"
SKU_015,SKU_085,0.89,False,subcategoria_diferente
SKU_015,SKU_104,0.73,False,subcategoria_diferente
SKU_015,SKU_044,0.74,False,subcategoria_diferente
SKU_016,SKU_069,0.96,False,subcategoria_diferente
SKU_016,SKU_067,0.79,False,subcategoria_diferente
SKU_017,SKU_103,0.61,False,"score_abaixo_corte,subcategoria_diferente"
SKU_017,SKU_105,0.89,False,subcategoria_diferente
SKU_017,SKU_150,,False,"score_nulo,subcategoria_diferente"
SKU_018,SKU_083,0.79,False,subcategoria_diferente
SKU_018,SKU_142,0.75,False,subcategoria_diferente
SKU_019,SKU_051,0.73,False,subcategoria_diferente
SKU_019,SKU_002,0.92,False,subcategoria_diferente
SKU_019,SKU_054,0.7,False,subcategoria_diferente
SKU_020,SKU_027,0.65,False,"score_abaixo_corte,subcategoria_diferente"
SKU_020,SKU_121,0.91,True,
SKU_020,SKU_042,0.9,False,subcategoria_diferente
SKU_021,SKU_081,0.85,False,subcategoria_diferente
SKU_021,SKU_078,0.78,True,
SKU_021,SKU_111,0.78,False,subcategoria_diferente
SKU_021,SKU_141,0.62,False,"score_abaixo_corte,subcategoria_diferente"
SKU_022,SKU_031,,False,"score_nulo,subcategoria_diferente"
SKU_022,SKU_101,0.88,False,subcategoria_diferente
SKU_022,SKU_133,0.96,False,subcategoria_diferente
SKU_023,SKU_111,0.6,False,score_abaixo_corte
SKU_023,SKU_014,0.78,False,subcategoria_diferente
SKU_024,SKU_077,0.76,False,subcategoria_diferente
SKU_024,SKU_049,0.79,False,subcategoria_diferente
SKU_025,SKU_008,0.93,False,subcategoria_diferente
SKU_025,SKU_094,0.82,False,subcategoria_diferente
SKU_026,SKU_095,0.96,False,subcategoria_diferente
SKU_026,SKU_008,0.87,True,
SKU_026,SKU_065,0.85,True,
SKU_026,SKU_002,0.97,False,subcategoria_diferente
SKU_027,SKU_056,0.64,False,"score_abaixo_corte,subcategoria_diferente"
SKU_027,SKU_131,0.8,False,subcategoria_diferente
SKU_027,SKU_077,0.66,False,"score_abaixo_corte,subcategoria_diferente"
SKU_028,SKU_018,0.79,False,subcategoria_diferente
SKU_028,SKU_093,,False,"score_nulo,subcategoria_diferente"
SKU_029,SKU_107,0.69,False,"score_abaixo_corte,subcategoria_diferente"
SKU_029,SKU_135,0.7,False,subcategoria_diferente
SKU_030,SKU_092,0.79,False,subcategoria_diferente
SKU_030,SKU_044,0.85,True,
SKU_030,SKU_135,0.72,False,subcategoria_diferente
SKU_030,SKU_037,0.73,False,subcategoria_diferente
SKU_031,SKU_055,0.83,False,subcategoria_diferente
SKU_031,SKU_135,,False,"score_nulo,subcategoria_diferente"
SKU_031,SKU_110,0.67,False,"score_abaixo_corte,subcategoria_diferente"
SKU_032,SKU_115,,False,"score_nulo,subcategoria_diferente"
SKU_032,SKU_093,0.66,False,"score_abaixo_corte,subcategoria_diferente"
SKU_032,SKU_049,0.91,False,subcategoria_diferente
SKU_032,SKU_138,0.74,False,subcategoria_diferente
SKU_033,SKU_042,0.86,False,subcategoria_diferente
SKU_033,SKU_035,0.76,False,subcategoria_diferente
SKU_033,SKU_086,,False,"score_nulo,subcategoria_diferente"
SKU_034,SKU_094,0.7,False,subcategoria_diferente
SKU_034,SKU_121,0.82,False,subcategoria_diferente
SKU_034,SKU_103,,False,"score_nulo,subcategoria_diferente"
SKU_043,SKU_105,0.83,False,subcategoria_diferente
SKU_043,SKU_032,0.85,False,subcategoria_diferente
SKU_044,SKU_112,,False,score_nulo
SKU_044,SKU_110,0.92,False,subcategoria_diferente
SKU_044,SKU_114,,False,"score_nulo,subcategoria_diferente"
SKU_044,SKU_005,0.69,False,"score_abaixo_corte,subcategoria_diferente"
SKU_045,SKU_129,0.6,False,"score_abaixo_corte,subcategoria_diferente"
SKU_045,SKU_110,0.87,False,subcategoria_diferente
SKU_045,SKU_115,,False,"score_nulo,subcategoria_diferente"
SKU_045,SKU_041,0.93,False,subcategoria_diferente
SKU_046,SKU_146,0.63,False,"score_abaixo_corte,subcategoria_diferente"
SKU_046,SKU_070,0.93,False,subcategoria_diferente
SKU_046,SKU_098,0.77,False,subcategoria_diferente
SKU_046,SKU_066,0.97,True,
SKU_047,SKU_115,0.62,False,"score_abaixo_corte,subcategoria_diferente"
SKU_047,SKU_142,0.79,False,subcategoria_diferente
SKU_048,SKU_091,0.71,False,subcategoria_diferente
SKU_048,SKU_033,0.79,False,subcategoria_diferente
SKU_049,SKU_096,0.76,False,subcategoria_diferente
SKU_049,SKU_066,0.94,True,
SKU_050,SKU_085,0.98,False,subcategoria_diferente
SKU_050,SKU_111,0.66,False,"score_abaixo_corte,subcategoria_diferente"
SKU_051,SKU_027,0.62,False,"score_abaixo_corte,subcategoria_diferente"
SKU_051,SKU_032,0.61,False,"score_abaixo_corte,subcategoria_diferente"
SKU_051,SKU_148,0.85,False,subcategoria_diferente
SKU_052,SKU_017,0.71,False,subcategoria_diferente
SKU_052,SKU_064,0.9,False,subcategoria_diferente
SKU_053,SKU_098,,False,"score_nulo,subcategoria_diferente"
SKU_053,SKU_047,0.92,False,subcategoria_diferente
SKU_054,SKU_024,0.74,False,subcategoria_diferente
SKU_054,SKU_020,0.87,False,subcategoria_diferente
SKU_054,SKU_027,0.65,False,"score_abaixo_corte,subcategoria_diferente"
SKU_054,SKU_104,0.71,False,subcategoria_diferente
SKU_055,SKU_077,0.93,False,subcategoria_diferente
SKU_055,SKU_109,,False,"score_nulo,subcategoria_diferente"
SKU_056,SKU_066,,False,"score_nulo,subcategoria_diferente"
SKU_056,SKU_011,0.8,False,subcategoria_diferente
SKU_057,SKU_007,0.82,False,subcategoria_diferente
SKU_057,SKU_052,,False,"score_nulo,subcategoria_diferente"
SKU_058,SKU_074,,False,"score_nulo,subcategoria_diferente"
SKU_058,SKU_013,0.88,False,subcategoria_diferente
SKU_058,SKU_149,0.68,False,"score_abaixo_corte,subcategoria_diferente"
SKU_063,SKU_122,0.74,False,subcategoria_diferente
